Name,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Total
            Expense.Expense.Dues Subscriptions.Other Software & Apps,-130.69,0.0,-645.84,-1056.83,-331.21,-1813.83,-1061.3,-662.36,-1351.58,-890.98,-810.35,-1213.8,-9968.78
        Expense.Expense.Payroll Expenses.Payroll Expense,-4109.89,-5137.36,-6164.83,-6164.83,-6164.83,-6164.83,-6164.83,-6164.83,-20890.2,-23256.75,-22683.71,-13442.08,-126508.97
        Expense.Expense.Bank Charges.Bank Fees & Service Charges,-790.11,26.75,-274.68,-59.77,-95.97,-204.04,-75.34,-1307.3,-117.78,-99.48,-365.78,-312.94,-3676.43
        Expense.Expense.Dues Subscriptions.Dues & Subscriptions,-3385.18,-1942.84,-4335.84,-4542.83,-4227.03,-309.98,-2487.55,-1249.38,-406.77,-1306.92,-1608.57,-3754.21,-29557.11
        Expense.Expense.Interest Paid.Interest Expense,-361.15,-524.99,-512.57,-598.66,-1005.28,-1167.06,-1484.06,-1460.05,-1287.11,-955.7,-495.48,-155.84,-10007.94
        Expense.Expense.Cost Of Labor.Contract labor,-15666.15,-18216.28,-19530.62,-6610.34,-14319.82,-15491.16,-21449.66,-28630.92,-25723.1,-24606.16,-21813.27,-20527.93,-232585.42
        Expense.Expense.Office General Administrative Expenses.Software and apps,-953.49,-939.4,-939.4,-939.4,0.0,0.0,-221.93,0.0,-2155.31,-1793.66,-1457.19,-3472.38,-12872.18
        Expense.Expense.Rent Or Lease Of Buildings.Rent,0.0,-1693.27,0.0,0.0,-5079.82,0.0,-123.53,-16932.73,0.0,0.0,-3386.55,-3239.21,-30455.12
        Expense.Expense.Legal Professional Fees.Professional Services,0.0,0.0,-6832.98,-2348.51,-2348.51,-5871.27,0.0,0.0,0.0,0.0,0.0,0.0,-17401.26
        Expense.Expense.Other Business Expenses.Other G & A,-6599.88,-10400.86,-5084.13,-8734.6,-12418.23,-15358.39,-13927.31,-9433.83,-9645.69,-8388.69,-7816.12,-13533.01,-121340.76
            Expense.Expense.Taxes Paid.Business licenses and taxes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-995.77,0.0,0.0,-995.77
            Expense.Expense.Other Miscellaneous Service Cost.Uncategorized Expense,0.0,0.0,0.0,-280.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1963.27,-2243.72
            Expense.Expense.Other Business Expenses.General business expenses,-90.73,-115.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-205.81
            Expense.Expense.Entertainment Meals.Meals and Entertainment,0.0,0.0,0.0,0.0,-1160.89,-1799.59,-383.35,-873.91,-1141.59,378.93,-673.63,-1768.52,-7422.55
            Expense.Expense.Office General Administrative Expenses.Office expenses,-4436.76,-3356.16,-3357.94,-5707.46,-5439.94,-3380.28,-5175.02,-5116.01,-3932.22,-4804.53,-4019.36,-4022.64,-52748.32
            Expense.Expense.Rent Or Lease Of Buildings.Utilities,0.0,-111.58,-220.78,-145.95,-158.44,-158.44,-158.44,-158.44,-158.44,-158.44,-158.44,-158.44,-1745.84
            Expense.Expense.Supplies Materials.Supplies,0.0,-32.91,0.0,0.0,0.0,-486.43,-1153.93,-388.78,-444.63,-922.76,0.0,0.0,-3429.45
            Expense.Expense.Travel.Travel,-2072.38,-6785.13,-1505.4,-2600.75,-5658.96,-9533.65,-7056.58,-2896.68,-3968.81,-1886.12,-2964.68,-5620.14,-52549.3
Net Operating Profit,-53597.55,-30689.31,213011.84,-24818.44,-34337.33,-21636.07,610.08,-86842.25,-35339.45,-10060.38,-39646.98,-60306.58,-183652.42
Total Other Income,0.0,147.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.74
    Income.Other Income.Other Miscellaneous Income.Other Income,0.0,147.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.74
        Income.Other Income.Other Miscellaneous Income.Other Miscellaneous Income,0.0,147.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.74
Total Other Expenses,-2895.42,-953.11,-1045.14,-1063.4,-953.11,-8679.62,-953.11,-992.88,-1521.3,-953.11,-1036.82,-1762.04,-22809.05
    Expense.Other Expense.Other Miscellaneous Expense.Other Expense,-2895.42,-953.11,-1045.14,-1063.4,-953.11,-8679.62,-953.11,-992.88,-1521.3,-953.11,-1036.82,-1762.04,-22809.05
        Expense.Other Expense.Other Miscellaneous Expense.Contributions to Charities,-1867.06,0.0,0.0,0.0,0.0,-5564.41,0.0,0.0,-410.99,0.0,0.0,0.0,-7842.46
        Expense.Other Expense.Other Miscellaneous Expense.Other Miscellaneous Expense,-75.25,0.0,-118.46,-83.88,0.0,-2162.11,0.0,-39.77,-157.21,0.0,-83.71,-1762.04,-4482.42
        Expense.Other Expense.Amortization.Amortization expenses,-953.11,-953.11,-926.69,-979.53,-953.11,-953.11,-953.11,-953.11,-953.11,-953.11,-953.11,0.0,-10484.17
Net Other Income,-2895.42,-805.36,-1045.14,-1063.4,-953.11,-8679.62,-953.11,-992.88,-1521.3,-953.11,-1036.82,-1762.04,-22661.31
Net Profit,-56492.97,-31494.67,211966.69,-25881.85,-35290.44,-30315.69,-343.02,-87835.13,-36860.75,-11013.49,-40683.79,-62068.62,-206313.73
